List of Designated Securities Eligible for Short Selling,
Effective date : 11/09/2026,
Note : Delisted securities excluded,

No.,Stock Code,Stock Short Name,Currency,Type,Exempt from Tick Rule,Remarks
295,1368,XTEP INT'L,HKD,EQTY,,,
296,1375,CC SECURITIES,HKD,EQTY,,,
297,1378,CHINAHONGQIAO,HKD,EQTY,,,
298,1384,DEEPEXI TECH,HKD,EQTY,,,
299,1385,SHANGHAI FUDAN,HKD,EQTY,,,
300,1396,GBA AI COMP,HKD,EQTY,,,
301,1398,ICBC,HKD,EQTY,,,
302,1405,DPC DASH,HKD,EQTY,,,
303,1415,COWELL,HKD,EQTY,,,
304,1428,BRIGHT SMART,HKD,EQTY,,,
305,1432,CHINASHENGMU-PF,HKD,EQTY,,,
306,1440,STAR SHINE HLDG,HKD,EQTY,,,
307,1448,FU SHOU YUAN,HKD,EQTY,,,
308,1456,GLMS SEC,HKD,EQTY,,,
309,1475,NISSIN FOODS,HKD,EQTY,,,
310,1477,OCUMENSION-B,HKD,EQTY,,,
311,1478,Q TECH,HKD,EQTY,,,
312,1501,INT MEDICAL,HKD,EQTY,,,
313,1508,CHINA RE,HKD,EQTY,,,
314,1513,LIVZON PHARMA,HKD,EQTY,,,
315,1515,CR MEDICAL,HKD,EQTY,,,
316,1519,J&T EXPRESS-W,HKD,EQTY,,,
317,1523,PLOVER BAY TECH,HKD,EQTY,,,
318,1530,3SBIO,HKD,EQTY,,,
319,1548,GENSCRIPT BIO,HKD,EQTY,,,
320,1551,GRCB,HKD,EQTY,,,
321,1578,BANK OF TIANJIN,HKD,EQTY,,,
322,1579,YIHAI INTL,HKD,EQTY,,,
323,1585,YADEA,HKD,EQTY,,,
324,1606,CDB LEASING,HKD,EQTY,,,
325,1610,COFCO JOYCOME,HKD,EQTY,,,
326,1618,MCC,HKD,EQTY,,,
327,1635,DZUG,HKD,EQTY,,,
328,1651,TSUGAMI CHINA,HKD,EQTY,,,
329,1658,PSBC,HKD,EQTY,,,
330,1666,TONG REN TANG,HKD,EQTY,,,
331,1672,ASCLETIS-B,HKD,EQTY,,,
332,1675,ASIAINFO TECH,HKD,EQTY,,,
333,1681,CONSUN PHARMA,HKD,EQTY,,,
334,1686,SUNEVISION,HKD,EQTY,,,
335,1688,LINGYI ITECH,HKD,EQTY,,Add,
336,1691,JS GLOBAL LIFE,HKD,EQTY,,,
337,1698,TME-SW,HKD,EQTY,,,
338,1709,DL HOLDINGS GP,HKD,EQTY,,,
339,1729,TIME INTERCON,HKD,EQTY,,,
340,1735,CENTRAL NEW EGY,HKD,EQTY,,,
341,1757,GLOBAL CHI BC,HKD,EQTY,,Add,
342,1762,WANKA ONLINE,HKD,EQTY,,,
343,1766,CRRC,HKD,EQTY,,,
344,1768,BUSYMING,HKD,EQTY,,,
345,1772,GANFENGLITHIUM,HKD,EQTY,,,
346,1773,TIANLI INT HLDG,HKD,EQTY,,,
347,1776,GF SEC,HKD,EQTY,,,
348,1783,ENVISION GREEN,HKD,EQTY,,,
349,1787,SD GOLD,HKD,EQTY,,,
350,1788,GUOTAI JUNAN I,HKD,EQTY,,,
351,1789,AK MEDICAL,HKD,EQTY,,,
352,1797,EAST BUY,HKD,EQTY,,,
353,1798,DATANG RENEW,HKD,EQTY,,,
354,1799,XINTE ENERGY,HKD,EQTY,,,
355,1800,CHINA COMM CONS,HKD,EQTY,,,
356,1801,INNOVENT BIO,HKD,EQTY,,,
357,1810,XIAOMI-W,HKD,EQTY,,,
358,1811,CGN NEW ENERGY,HKD,EQTY,,,
359,1816,CGN POWER,HKD,EQTY,,,
360,1818,ZHAOJIN MINING,HKD,EQTY,,,
361,1828,FWD,HKD,EQTY,,,
362,1833,PA GOODDOCTOR,HKD,EQTY,,,
363,1836,STELLA HOLDINGS,HKD,EQTY,,,
364,1848,CALC,HKD,EQTY,,,
365,1857,CEB WATER,HKD,EQTY,,,
366,1866,CHINA XLX FERT,HKD,EQTY,,,
367,1872,GUAN CHAO HLDGS,HKD,EQTY,,,
368,1873,VIVA BIOTECH,HKD,EQTY,,,
369,1875,BIODLINK-B,HKD,EQTY,,Add,
370,1876,BUD APAC,HKD,EQTY,,,
371,1877,JUNSHI BIO,HKD,EQTY,,,
372,1879,XIZHI TECH-P,HKD,EQTY,,,
